Netherlands 1 (TCP),89.248.162.235 89.248.162.235 89.248.162.235 89.248.162.235 89.248.162.235 89.248.162.235 89.248.162.235,tcp,443 992 2460 3389 5005 5555 1194
Netherlands 1 (UDP),89.248.162.235 89.248.162.235 89.248.162.235 89.248.162.235 89.248.162.235 89.248.162.235 89.248.162.235,udp,443 992 2460 3389 5005 5555 1194
Netherlands 2 (TCP),95.211.174.166 95.211.174.166 95.211.174.166 95.211.174.166 95.211.174.166 95.211.174.166 95.211.174.166,tcp,443 992 2460 3389 5005 5555 1194
Netherlands 2 (UDP),95.211.174.166 95.211.174.166 95.211.174.166 95.211.174.166 95.211.174.166 95.211.174.166 95.211.174.166,udp,443 992 2460 3389 5005 5555 1194
Netherlands 3 (TCP),95.211.184.230 95.211.184.230 95.211.184.230 95.211.184.230 95.211.184.230 95.211.184.230 95.211.184.230,tcp,443 992 2460 3389 5005 5555 1194
Netherlands 3 (UDP),95.211.184.230 95.211.184.230 95.211.184.230 95.211.184.230 95.211.184.230 95.211.184.230 95.211.184.230,udp,443 992 2460 3389 5005 5555 1194
Netherlands 4 (TCP),95.211.191.134 95.211.191.134 95.211.191.134 95.211.191.134 95.211.191.134 95.211.191.134 95.211.191.134,tcp,443 992 2460 3389 5005 5555 1194
Netherlands 4 (UDP),95.211.191.134 95.211.191.134 95.211.191.134 95.211.191.134 95.211.191.134 95.211.191.134 95.211.191.134,udp,443 992 2460 3389 5005 5555 1194
Poland 1 (TCP),178.255.44.46 178.255.44.46 178.255.44.46 178.255.44.46 178.255.44.46 178.255.44.46 178.255.44.46,tcp,443 992 2460 3389 5005 5555 1194
Poland 1 (UDP),178.255.44.46 178.255.44.46 178.255.44.46 178.255.44.46 178.255.44.46 178.255.44.46 178.255.44.46,udp,443 992 2460 3389 5005 5555 1194
Poland 2 (TCP),5.187.49.142 5.187.49.142 5.187.49.142 5.187.49.142 5.187.49.142 5.187.49.142 5.187.49.142,tcp,443 992 2460 3389 5005 5555 1194
Poland 2 (UDP),5.187.49.142 5.187.49.142 5.187.49.142 5.187.49.142 5.187.49.142 5.187.49.142 5.187.49.142,udp,443 992 2460 3389 5005 5555 1194
Poland 3 (TCP),54.37.235.220 54.37.235.220 54.37.235.220 54.37.235.220 54.37.235.220 54.37.235.220 54.37.235.220,tcp,443 992 2460 3389 5005 5555 1194
Poland 3 (UDP),54.37.235.220 54.37.235.220 54.37.235.220 54.37.235.220 54.37.235.220 54.37.235.220 54.37.235.220,udp,443 992 2460 3389 5005 5555 1194
Singapore 1 (TCP),209.58.177.170 209.58.177.170 209.58.177.170 209.58.177.170 209.58.177.170 209.58.177.170 209.58.177.170,tcp,443 992 2460 3389 5005 5555 1194
Singapore 1 (UDP),209.58.177.170 209.58.177.170 209.58.177.170 209.58.177.170 209.58.177.170 209.58.177.170 209.58.177.170,udp,443 992 2460 3389 5005 5555 1194
United Kingdom 1 (TCP),87.117.198.61 87.117.198.61 87.117.198.61 87.117.198.61 87.117.198.61 87.117.198.61 87.117.198.61,tcp,443 992 2460 3389 5005 5555 1194
United Kingdom 1 (UDP),87.117.198.61 87.117.198.61 87.117.198.61 87.117.198.61 87.117.198.61 87.117.198.61 87.117.198.61,udp,443 992 2460 3389 5005 5555 1194
United Kingdom 2 (TCP),88.150.223.114 88.150.223.114 88.150.223.114 88.150.223.114 88.150.223.114 88.150.223.114 88.150.223.114,tcp,443 992 2460 3389 5005 5555 1194
United Kingdom 2 (UDP),88.150.223.114 88.150.223.114 88.150.223.114 88.150.223.114 88.150.223.114 88.150.223.114 88.150.223.114,udp,443 992 2460 3389 5005 5555 1194
United Kingdom 3 (TCP),185.62.86.147 185.62.86.147 185.62.86.147 185.62.86.147 185.62.86.147 185.62.86.147 185.62.86.147,tcp,443 992 2460 3389 5005 5555 1194
United Kingdom 3 (UDP),185.62.86.147 185.62.86.147 185.62.86.147 185.62.86.147 185.62.86.147 185.62.86.147 185.62.86.147,udp,443 992 2460 3389 5005 5555 1194
United Kingdom 4 (TCP),88.150.192.138 88.150.192.138 88.150.192.138 88.150.192.138 88.150.192.138 88.150.192.138 88.150.192.138,tcp,443 992 2460 3389 5005 5555 1194
